mutType	mutNum	totalRootNum
AC>CA	162	67185049
AC>CG	38	67185049
AC>CT	146	67185049
AC>GA	123	67185049
AC>GG	93	67185049
AC>GT	260	67185049
AC>TA	117	67185049
AC>TG	55	67185049
AC>TT	367	67185049
AT>CA	84	43157492
AT>CC	116	43157492
AT>CG	11	43157492
AT>GA	103	43157492
AT>GC	95	43157492
AT>TA	79	43157492
CC>AA	367	49523720
CC>AG	82	49523720
CC>AT	178	49523720
CC>GA	52	49523720
CC>GG	46	49523720
CC>GT	89	49523720
CC>TA	126	49523720
CC>TG	188	49523720
CC>TT	478	49523720
CG>AT	20	7389186
CG>GC	6	7389186
CG>GT	22	7389186
CG>TA	77	7389186
CG>TC	35	7389186
CG>TT	121	7389186
CT>AA	258	78607814
CT>AC	141	78607814
CT>AG	83	78607814
CT>GA	44	78607814
CT>GC	74	78607814
CT>GG	72	78607814
CT>TA	139	78607814
CT>TC	259	78607814
CT>TG	305	78607814
GC>AA	542	26152782
GC>AG	127	26152782
GC>AT	179	26152782
GC>CA	89	26152782
GC>CG	14	26152782
GC>TA	57	26152782
TA>AT	73	35244063
TA>CG	45	35244063
TA>CT	89	35244063
TA>GC	12	35244063
TA>GG	75	35244063
TA>GT	49	35244063
TC>AA	447	67980498
TC>AG	53	67980498
TC>AT	243	67980498
TC>CA	183	67980498
TC>CG	49	67980498
TC>CT	249	67980498
TC>GA	76	67980498
TC>GG	31	67980498
TC>GT	111	67980498
TG>AA	499	93863706
TG>AC	68	93863706
TG>AT	195	93863706
TG>CA	1295	93863706
TG>CC	181	93863706
TG>CT	281	93863706
TG>GA	170	93863706
TG>GC	50	93863706
TG>GT	206	93863706
TT>AA	297	112508139
TT>AC	91	112508139
TT>AG	62	112508139
TT>CA	120	112508139
TT>CC	236	112508139
TT>CG	49	112508139
TT>GA	66	112508139
TT>GC	90	112508139
TT>GG	216	112508139
