Xiphophorus_hellerii_GCA_003331165.2 Xiphophorus_couchianus_GCA_001444195.3 Xiphophorus_birchmanni_GCA_036418095.1 

Poecilia_reticulata_GCA_000633615.2 Poecilia_formosa_GCA_013036135.2 Poecilia_formosa_GCA_013036085.2 

Fundulus_heteroclitus_GCA_011125445.2 Fundulus_diaphanus_GCA_037039145.1 Fundulus_diaphanus_GCA_037038625.1 

Salarias_fasciatus_GCA_902148845.1 Lipophrys_pholis_GCA_963383615.1 Blennius_ocellaris_GCA_963422515.1 

Oreochromis_aureus_GCA_013358895.1 Oreochromis_niloticus_GCA_000188235.2 Oreochromis_niloticus_GCA_013350305.1 

Oreochromis_aureus_GCA_013358895.1 Maylandia_zebra_GCA_000238955.5 Pelmatolapia_mariae_GCA_036321145.1 

Acanthochromis_polyacanthus_GCA_021347895.1 Amphiprion_percula_GCA_003047355.2 Amphiprion_ocellaris_GCA_022539595.1 

Raphanus_sativus_GCA_000801105.3 Brassica_oleracea_var._oleracea_GCA_000695525.1 Brassica_rapa_GCA_000309985.3 

Arabidopsis_halleri_GCA_964271285.1 Arabidopsis_arenosa_GCA_905216605.1 Arabidopsis_thaliana_GCA_000001735.2 

Epinephelus_fuscoguttatus_GCA_011397635.1 Cromileptes_altivelis_GCA_019925165.1 Cromileptes_altivelis_GCA_013133815.1 

Centropristis_striata_GCA_030273125.1 Sebastes_schlegelii_GCA_014673565.1 Sebastes_umbrosus_GCA_015220745.1 

Perca_fluviatilis_GCA_010015445.1 Perca_schrenkii_GCA_025617405.1 Perca_flavescens_GCA_004354835.1 

Etheostoma_spectabile_GCA_008692095.1 Etheostoma_perlongum_GCA_026937815.1 Etheostoma_nigrum_GCA_029931835.1 

Siniperca_chuatsi_GCA_020085105.1 Siniperca_scherzeri_GCA_027580175.1 Siniperca_scherzeri_GCA_011952095.1 

Micropterus_dolomieu_GCA_021292245.1 Micropterus_salmoides_GCA_036785525.1 Micropterus_salmoides_GCA_022435785.1 

Larimichthys_crocea_GCA_000972845.2 Miichthys_miiuy_GCA_036365135.1 Argyrosomus_regius_GCA_946959425.1 

Acanthopagrus_latus_GCA_904848185.1 Sparus_aurata_GCA_900880675.2 Diplodus_puntazzo_GCA_963678695.2 

Cheilinus_undulatus_GCA_018320785.1 Labrus_mixtus_GCA_963584025.1 Labrus_bergylta_GCA_963930695.1 

Pseudochaenichthys_georgianus_GCA_902827115.2 Champsocephalus_gunnari_GCA_036324595.1 Champsocephalus_esox_GCA_036324585.1 

Eleginops_maclovinus_GCA_036324505.1 Pogonophryne_albipinna_GCA_028583405.1 Dissostichus_eleginoides_GCA_031216635.1 

Takifugu_rubripes_GCA_000180615.2 Takifugu_flavidus_GCA_003711565.2 Takifugu_bimaculatus_GCA_004026145.2 

Pseudoliparis_swirei_GCA_029220125.1 Cyclopterus_lumpus_GCA_963457625.1 Cyclopterus_lumpus_GCA_009769545.1 

Anoplopoma_fimbria_GCA_027596085.2 Melanostigma_gelatinosum_GCA_949748355.1 Lycodopsis_pacificus_GCA_028022725.1 

Carcharodon_carcharias_GCA_017639515.1 Prionace_glauca_GCA_037974335.1 Mustelus_asterias_GCA_964213995.1 

Chiloscyllium_plagiosum_GCA_004010195.1 Stegostoma_tigrinum_GCA_030684315.1 Rhincodon_typus_GCA_021869965.1 

Amblyraja_radiata_GCA_010909765.2 Okamejei_kenojei_GCA_035221665.1 Raja_brachyura_GCA_963514005.1 

Hypanus_sabinus_GCA_030144855.1 Mobula_birostris_GCA_030028105.1 Mobula_hypostoma_GCA_963921235.1
